JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,REZONE_DT,LOW_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
SOUTH EL MONTE,LOS ANGELES,2020,8104025023,Santa Anita Ave,Santa Anita/ Weaver,4/1/2020,,Unaccommodated Need,0.12,Medium Density Residential,R3,16,16,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2020,8104025024,Santa Anita Ave,Santa Anita/ Weaver,4/1/2020,,Unaccommodated Need,0.14,Medium Density Residential,R3,16,16,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2020,8104022011,Continental Ave,Continental /Weaver,10/1/2019,,Unaccommodated Need,0.42,Medium Density Residential,R3,16,16,30,Vacant,
MONTEBELLO,LOS ANGELES,2020,6348-001-014/015,101/111 E. Whittier Blvd.,Housing Opportunity Overlay (HOO),5/15/2020,21.0,Unaccommodated Need,0.5,General Commercial,HOO,20,80,41,Non-Vacant,Existing commercial buildings
MONTEBELLO,LOS ANGELES,2020,6343-014-031,113 N. Garfield,Housing Opportunity Overlay (HOO),5/16/2020,22.0,Unaccommodated Need,0.69,General Commercial,HOO,20,80,44,Non-Vacant,Existing commercial buildings
MONTEBELLO,LOS ANGELES,2020,6350-022-020,501 S. Montebello Blvd.,Housing Opportunity Overlay (HOO),5/17/2020,39.0,Unaccommodated Need,2.12,General Commercial,HOO,20,80,77,Vacant,undeveloped
MONTEBELLO,LOS ANGELES,2020,6347-012-009,140 E. Whittier Blvd.,Housing Opportunity Overlay (HOO),5/18/2020,75.0,Unaccommodated Need,2.36,Multiple-Family  Residential,HOO,20,80,150,Vacant,Unoccupied residential buildings
MONTEBELLO,LOS ANGELES,2020,6343-014-031,"244/236 George Hensel Dr., 1100/1112 W. Olympic Blvd.",Housing Opportunity Overlay (HOO),5/19/2020,182.0,Unaccommodated Need,5.6,General Commercial,HOO,20,80,363,Non-Vacant,Unoccupied government building and truck storage
CUDAHY,LOS ANGELES,2018,6224003012,not available,,3/18/2018,,Shortfall of Sites,0.58,High Density Residential,High Density Residential,20,40,14,Non-Vacant,2 dwelling units
CUDAHY,LOS ANGELES,2018,6224004009,not available,,3/18/2018,,Shortfall of Sites,0.94,High Density Residential,High Density Residential,20,40,23,Non-Vacant,11 dwelling units
CUDAHY,LOS ANGELES,2018,6224004025,not available,,3/18/2018,,Shortfall of Sites,0.23,High Density Residential,High Density Residential,20,40,6,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6224010001,not available,,3/18/2018,,Shortfall of Sites,0.94,High Density Residential,High Density Residential,20,40,23,Non-Vacant,11 dwelling units
CUDAHY,LOS ANGELES,2018,6224017010,not available,,3/18/2018,,Shortfall of Sites,0.23,High Density Residential,High Density Residential,20,40,6,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6224018054,not available,,3/18/2018,,Shortfall of Sites,1.22,High Density Residential,High Density Residential,20,40,29,Non-Vacant,14 dwelling units
CUDAHY,LOS ANGELES,2018,6225019021,not available,,3/18/2018,,Shortfall of Sites,0.9,High Density Residential,High Density Residential,20,40,22,Non-Vacant,10 dwelling units
CUDAHY,LOS ANGELES,2018,6225028054,not available,,3/18/2018,,Shortfall of Sites,0.93,High Density Residential,High Density Residential,20,40,22,Non-Vacant,10 dwelling units
CUDAHY,LOS ANGELES,2018,6226008023,not available,,3/18/2018,,Shortfall of Sites,0.22,High Density Residential,High Density Residential,20,40,5,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226014900,not available,,3/18/2018,,Shortfall of Sites,0.47,High Density Residential,High Density Residential,20,40,11,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226014901,not available,,3/18/2018,,Shortfall of Sites,0.46,High Density Residential,High Density Residential,20,40,11,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226020039,not available,,3/18/2018,,Shortfall of Sites,0.92,High Density Residential,High Density Residential,20,40,22,Non-Vacant,10 dwelling units
CUDAHY,LOS ANGELES,2018,6226021012,not available,,3/18/2018,,Shortfall of Sites,0.93,High Density Residential,High Density Residential,20,40,22,Non-Vacant,10 dwelling units
CUDAHY,LOS ANGELES,2018,6226024020,not available,,3/18/2018,,Shortfall of Sites,0.93,High Density Residential,High Density Residential,20,40,22,Non-Vacant,10 dwelling units
CUDAHY,LOS ANGELES,2018,6226025006,not available,,3/18/2018,,Shortfall of Sites,0.52,High Density Residential,High Density Residential,20,40,13,Non-Vacant,3 dwelling units
CUDAHY,LOS ANGELES,2018,6226031030,not available,,3/18/2018,,Shortfall of Sites,0.83,High Density Residential,High Density Residential,20,40,20,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225018009,not available,,3/18/2018,,Shortfall of Sites,0.08,Mixed Use/Commercial,Mixed Use/Commercial,1,40,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225018010,not available,,3/18/2018,,Shortfall of Sites,0.26,Mixed Use/Commercial,Mixed Use/Commercial,1,40,4,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225018011,not available,,3/18/2018,,Shortfall of Sites,0.39,Mixed Use/Commercial,Mixed Use/Commercial,1,40,7,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022900,not available,,3/18/2018,,Shortfall of Sites,0.03,Mixed Use/Commercial,Mixed Use/Commercial,1,40,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022901,not available,,3/18/2018,,Shortfall of Sites,0.2,Mixed Use/Commercial,Mixed Use/Commercial,1,40,3,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022902,not available,,3/18/2018,,Shortfall of Sites,0.17,Mixed Use/Commercial,Mixed Use/Commercial,1,40,3,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022903,not available,,3/18/2018,,Shortfall of Sites,0.19,Mixed Use/Commercial,Mixed Use/Commercial,1,40,3,Vacant,undeveloped
SOUTH EL MONTE,LOS ANGELES,2019,8102028005,Garvey Ave,Garvey & Humbert,10/1/2019,,Unaccommodated Need,0.58,Mixed Use,CR,30,87,30,Non-Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2019,8581015043,Garvey Ave,Garvey & Adelia,10/1/2019,,Unaccommodated Need,0.64,Mixed Use,CR,30,110,30,Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2019,8116027047,Santa Anita Ave,Santa Anita/ Fawcett,4/1/2020,,Unaccommodated Need,2.3,Mixed Use,CR,30,35,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2019,8118019008,Santa Anita Ave,Santa Anita/ Fawcett,4/1/2020,,Unaccommodated Need,2.4,Mixed Use,CR,30,35,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2019,8581015011,Garvey Ave,Garvey & Adelia,10/1/2019,,Unaccommodated Need,0.14,Mixed Use,CR,30,110,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2020,8581015043,Garvey Ave,Garvey & Adelia,10/1/2019,,Unaccommodated Need,0.64,Mixed Use,CR,30,110,30,Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2020,8102028005,Garvey Ave,Garvey & Humbert,10/1/2019,,Unaccommodated Need,0.58,Mixed Use,CR,30,87,30,Non-Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2020,8116027047,Santa Anita Ave,Santa Anita/ Fawcett,4/1/2020,,Unaccommodated Need,2.3,Mixed Use,CR,30,35,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2020,8118019008,Santa Anita Ave,Santa Anita/ Fawcett,4/1/2020,,Unaccommodated Need,2.4,Mixed Use,CR,30,35,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2020,8581015011,Garvey Ave,Garvey & Adelia,10/1/2019,,Unaccommodated Need,0.14,Mixed Use,CR,30,110,30,Vacant,
BELL,LOS ANGELES,2020,6326-035-901,7020 Atlantic Avenue,Zone Text & Map Amendment No. 2020-01,5/27/2020,,Shortfall of Sites,0.08,Commercial,Mixed Use Overlay Zone (MUOZ),"1 unit may be located for each 1,452 square feet of lot area.","1 unit may be located for each 1,452 squae feet of lot area.",16,Vacant,A C-3 zone with existing commercial buildings that serve as a car wash.
BELL,LOS ANGELES,2020,6325-035-902,7030 Atlantic Avenue,Zone Text & Map Amendment No. 2020-01,5/27/2020,,Shortfall of Sites,0.47,Commercial,Mixed Use Overlay Zone (MUOZ),"1 unit may be located for each 1,452 square feet of lot area.","1 unit may be located for each 1,452 sqaure feet of lot area.",16,Vacant,A C-3 zone with existing commercial buildings that serve as a car wash.
ROLLING HILLS,LOS ANGELES,2021,7569-022-900,38 Crest Road W,PVUSD School Site,2/22/2021,7.0,Shortfall of Sites,31.14,Very Low Density Residential,Residential Agricultural Suburban,1,2,56,Non-Vacant,Institutional uses
ROLLING HILLS,LOS ANGELES,2021,7569-022-900,38 Crest Road W,PVUSD School Site,2/22/2021,7.0,Shortfall of Sites,31.14,Very Low Density Residential,Residential Agricultural Suburban,1,2,56,Non-Vacant,Institutional uses
CALABASAS,LOS ANGELES,2018,2068-005-012 & 2068-005-011,23480 Park Sorrento,Raznick Mixed Use,2/14/2018,,No Net Loss,1.93,Mixed Use,Commercial Mixed Use 0.95,20,20,45,Non-Vacant,Office
PARAMOUNT,LOS ANGELES,2018,Multiple,Multiple,Clearwater East Specific Plan,6/30/2019,156.0,Shortfall of Sites,51.0,Clearwater East,Clearwater East Specific Plan,20 units per acre (forthcoming),22 units per acre (forthcoming),1000,Non-Vacant,"Swap meets, industrial, commercial, and office uses"
PARAMOUNT,LOS ANGELES,2019,Multiple,Multiple,Clearwater East Specific Plan,6/30/2019,156.0,Shortfall of Sites,51.0,Clearwater East,Clearwater East Specific Plan,20 units per acre (forthcoming),22 units per acre (forthcoming),1000,Non-Vacant,"Swap meets, industrial, commercial, and office uses"
CUDAHY,LOS ANGELES,2018,6224015002,not available,,3/18/2018,,Shortfall of Sites,0.47,Single Family Residential,Single Family Residential,1,15,4,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6224032800,not available,,3/18/2018,,Shortfall of Sites,0.22,Single Family Residential,Single Family Residential,1,15,2,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225010025,not available,,3/18/2018,,Shortfall of Sites,0.22,Single Family Residential,Single Family Residential,1,15,2,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225011006,not available,,3/18/2018,,Shortfall of Sites,0.22,Single Family Residential,Single Family Residential,1,15,2,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225025014,not available,,3/18/2018,,Shortfall of Sites,0.13,Single Family Residential,Single Family Residential,1,15,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225026002,not available,,3/18/2018,,Shortfall of Sites,0.44,Single Family Residential,Single Family Residential,1,15,4,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225026003,not available,,3/18/2018,,Shortfall of Sites,0.44,Single Family Residential,Single Family Residential,1,15,4,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225026009,not available,,3/18/2018,,Shortfall of Sites,0.08,Single Family Residential,Single Family Residential,1,15,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225026010,not available,,3/18/2018,,Shortfall of Sites,0.1,Single Family Residential,Single Family Residential,1,15,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225026013,not available,,3/18/2018,,Shortfall of Sites,0.54,Single Family Residential,Single Family Residential,1,15,5,Non-Vacant,Commercial/Industrial
