JURS_NAME,YEAR,PROGRAM_NAME,PROGRAM_OBJECTIVE,ACCOMPLISHED_DT,PROGRAM_STATUS
CLAREMONT,2019,Owner-Occupied Rehabilitation,"• Provide rehabilitation assistance to four households annually for a total of 24 households over 6 years.                                                                                                                                                                                                                                                    • Publicize program information on City website, at City Hall, and at other public locations.                                                                                                                                                                                                                                                                           • Increase outreach by providing information of program to owners of homes identified through code enforcement activities as requiring maintenance or other actions to correct code violations.",On-going,• The City provided rehabilitation assistance to two households in 2019.                                                                                                                                                                                                                                                                                                                       • The City continued providing information regarding Housing Rehabilitation Loan Program and Energy Efficient Improvement Grants on the City's website and as part of the code enforcement process.
CLAREMONT,2020,"Safe and Healthy
Environments for Children","• Meet regularly with agencies, residents and onwers of multi-family housing complexes to address social and criminal problems that impact residents of the complexes.
• Develop strategies to address identified social and criminal problems.",On-going,"• The City continued conducting its ""Crime-Free Multi-Housing Program"" to help
residents, property managers and owners to keep drugs and other illegal activity out of rental multi-family properties. The Police Department conducts a yearly manager/property owner training consisting of two half-day sessions.
• The Police Department will continue to track crime statistics for use in allocating resources, and volunteers will continue to provide assistance in checking properties and alerting police officers of suspicious activities in neighborhoods."
CLAREMONT,2020,Homebuyer Assistance,"• Publicize program information on City
website, at City Hall, and at other public locations.
• Continue to assist in distributing homebuyer workshop information, held by local realtors or the Los Angeles County Development Commission, to potential homebuyers.",On-going,The City continued to provide information regarding Affordable Home Ownership development projects and programs on the City's website.
CLAREMONT,2020,"Permanent Supportive and
Transitional Housing for Low Income and Homeless Individuals and Families.","• Partner with a nonprofit affordable housing developer for the development of a transitional/supportive housing project.
• Garner support for a transitional/supportive housing project from local, county, state and federal legislative offices.
• Work with a nonprofit affordable housing developer in preparing a site plan to determine development potential.",On-going,"• The City continues to work with a non-profit housing developer, with extensive staff and consultant involvement, to secure grant funds to develop an 18-unit transitional/supportive housing complex at the northeast corner of Harrison Avenue and Cambridge Avenue.                                                                                                                                                                                                                                                                                                                                                                                     • In 2020 The City Council committed $1.75 Million to Tri City Mental Health and RNLA for construction of a 15 Unit Permanent supportive Senior Housing project on Base Line Avenue."
CLAREMONT,2020,"Claremont Sustainable City
Plan",Implement and coordinate the policies and programs in the Claremont Sustainable City Plan as they are revised by the City Council.,On-going,"• The City continued to support efforts by Claremont Locally Grown Power (CLGP) to develop a solar panel assembly plant for affordable solar panels for income-qualified households.  Work on the plant is nearing completion.                                                            • The City continued to offer Energy Efficient Improvement Grants to income-qualified property owners.   
• The City continued to track and publicize the number of new solar installations in the City through the Sustainability Report Card.                                                                                                                                                                                                          • The City continued to develop the Village South Specific Plan, to help facilitate new Transit-Oriented Development on 18.5 acres of land along Indian Hill Boulevard south of the Village.                                                                                                                                                                           • The City continued to implement its ""Crime-Free Multi-Housing Program"" for apartment housing developments with over 10 units."
CLAREMONT,2021,"Crime-Free Environments
for Families","Police Department shall routinely evaluate the policing needs in all areas of the City to eliminate crime-prone environments and promote, healthy, crime-free environments for families living in all housing types.",On-going,"• The City continued to conduct its ""Crime-Free Multi-Housing Program"" to help
residents, property managers and owners to keep drugs and other illegal activity out of rental multi-family properties helping them provide safe and healthy living environments. The Police Department worked with multi-family housing managers/property owners to expand capacity for effective apartment management and offer community-building opportunities through networking and sharing of best-practices.
• The Police Department will continue to track crime statistics for use in allocating resources, and volunteers will continue to provide assistance in checking properties and alerting police officers of suspicious activities in neighborhoods."
CLAREMONT,2021,"Safe and Healthy
Environments for Children","• Meet regularly with agencies, residents and onwers of multi-family housing complexes to address social and criminal problems that impact residents of the complexes.
• Develop strategies to address identified social and criminal problems.",On-going,"• The City continued conducting its ""Crime-Free Multi-Housing Program"" to help
residents, property managers and owners to keep drugs and other illegal activity out of rental multi-family properties, helping them provide safe and healthy living environments. The Police Department worked with multi-family housing managers/property owners to expand capacity for effective apartment management and offer community-building opportunities through networking and sharing of best-practices.
• The Police Department will continue to track crime statistics for use in allocating resources, and volunteers will continue to provide assistance in checking properties and alerting police officers of suspicious activities in neighborhoods."
CLAREMONT,2021,"Building Relationships
Between City and Housing
Managers","• Implement requirements of the City's
Multi-Family Rental Housing Ordinance, which requires annual licensing of complexes with ten or more units.
• Maintain on-going communications with managers of multi-family housing projects to address needed maintenance and rehabilitation.",On-going,"• The City continued to enforce the Multi-Family Rental Housing Ordinance.
• The City's Community Improvement Officer continued to conduct annual inspections of multi-family residential properties to address maintenance issues."
CLAREMONT,2021,"Park Fees
Reductions/Waivers",Continue to offer park fee reduction/waivers pursuant to City ordinance.,On-going,The City continued to offer park fee reduction/waivers to eligible development projects.
CLAREMONT,2021,Homebuyer Assistance,"• Publicize program information on City
website, at City Hall, and at other public locations.
• Continue to assist in distributing homebuyer workshop information, held by local realtors or the Los Angeles County Development Commission, to potential homebuyers.",On-going,The City continued to provide information regarding Affordable Home Ownership development projects and programs on the City's website.
CLAREMONT,2021,"Homeless Assistance
Program","• Provide referrals to nonprofit
organizations.
• Publicize information on City website, at City Hall, and at other public locations.
• Work collaboratively with the Claremont Police Department and local agencies on the Claremont Homeless Pilot Program.",On-going,"•  The City partnered with Tri-City Mental Health Services, Inland Valley Hope Partners, and Foothill Family Shelter, and other local partners to provide meals, hygiene items, clothing, and other resources to homeless individuals.
• The City worked with Tri-City Mental Health Services to obtain shelter for participants through Hope for Home, motel vouchers, and Winter Shelters.
• The City worked with VOA to get unsheltered residents into the LA County Coordinated Entry System."
CLAREMONT,2021,"Support Services and
Resources to the Homeless","• Evaluate available funding and allocate resources based on priority of needs.
• Work collaboratively with the Claremont Police Department and local agencies on the Claremont Homeless Pilot Program.",On-going,"• The City approved and accepted an award of $50,000 from the San Gabriel Valley Council of Governments for the implementation of a shared housing pilot program in 2020. The program program launched in 2021 and the City partnered with SHARE! Collaborative Housing to identify housing, house, and provide supportive services to people experiencing homelessness.  SHARE! was tasked with identifying eligible houses in the region through a system of referrals and determine suitable housemates for the home.  SHARE! was able to make fifteen placements of individuals in the San Gabriel Valley into existing SHARE! homes within LA County. These individuals also received services designed to use best practices for building social support to help residents live independently and successfully integrate into the community. 
• The City allocatd $15,000 to the Prevention, Diversion and Rapid Rehousing program, which provides service to individuals and families at risk of homelessness and includes funding to assist with short-term rental assistance, rental application fees, security deposits, legal services and credit repair
 •    As part of the Cohort which includes the cites of Pomona, La Verne, Tri-City Mental Health Services and the City, the City participates in the Community Navigator Program, which provides a dedicated team to help people experiencing homelessnes,s families and caregivers to obtain access to needed resources.  These include mental health services, substance abuse treatment and support, low-cost medical services, free to low-cost legal services, food banks, clothing and transitional and                                                                                                                                                                                           • The City has used motel vouchers secured through Measure H funding for families with wrap around services provided by Tr-City Mental Health.                                                                                                                                   
 • The City has secured two beds at the Hope for Home shelter for unsheltered adults with full wrap around services and has succesfully made placements for interim suportive housing.  The beds are filled via referrals from the Tri-City Navigator Program.   These beds were filled throughout the year on a recurring basis. Beds were periodically not filled due to COVID-related lockdowns.                                                                                                      
• The City approved and accepted an award of $15,000 from the San Gabriel Valley Council of Governements to augment the City's Emergency Case fund to a not-to-exceed award amount of $1,000 per award (previously $250). The City assisted two individuals and one family by assisting with rent and utilities.                                                                                                                                            • The City continued to support a shower program at St. Ambrose Church for unsheltered residents. Due to the COVID-19 pandemic, the shower program operated by appointment only from March 2020, but resumed regular hours in September 2021.  The City provided 265 showers in Calendar Year 2021.                                                                                                         • The City approved and accepted an award of $150,000 from the San Gabriel Valley Council of Governments to secure family beds at the Our Family Shelter in Pomona through Inland Valley Hope Partners.  IVHP prioritizes Claremont unsheltered families to provide them with room and board and weekly case management."
CLAREMONT,2021,"Permanent Supportive and
Transitional Housing for Low Income and Homeless Individuals and Families.","• Partner with a nonprofit affordable housing developer for the development of a transitional/supportive housing project.
• Garner support for a transitional/supportive housing project from local, county, state and federal legislative offices.
• Work with a nonprofit affordable housing developer in preparing a site plan to determine development potential.",On-going,"• The City continues to work with a non-profit housing developer, with extensive staff and consultant involvement, including committing $1.5 milllion of City housing funds, to assist in the funding and development of an 33-unit transitional/supportive housing complex at the northeast corner of Harrison Avenue and Cambridge Avenue."
CLAREMONT,2018,Transitional and Supportive Housing,The City will continue its efforts to facilitate the production of transitional and supportive housing through partnerships with nonprofit developers and by working with organizations such as the Claremont Homeless Advocacy Program (CHAP) and Tri-City Mental Health.,On-going,• The City continued to work with the Claremont Homeless Advocacy Program (CHAP) to identify a property for program graduates to move into transitional housing.  Tri-City Mental Health purchased a property in 2017 and converted it to a duplex and rehabilitated it to house two families.
CLAREMONT,2018,Maintain Residential Capacity,• City to monitor available residential capacity and evaluate development applications throughout the City.                                                                                                                                                                                                                                                             • The City will identify and zone sufficient sites to accommodate the shortfall should an approval of development result in a reduction of capacity below that needed to accommodate lower-income housing needs.,On-going,"The City continued to monitor available residential capacity in 2018, and did not approve any development application resulting in a reduction of potential sites for lower-income housing."
CLAREMONT,2019,Transitional and Supportive Housing,The City will continue its efforts to facilitate the production of transitional and supportive housing through partnerships with nonprofit developers and by working with organizations such as the Claremont Homeless Advocacy Program (CHAP) and Tri-City Mental Health.,On-going,"• The City continued to work with the Claremont Homeless Advocacy Program (CHAP) to identify a property for program graduates to move into transitional housing.  Tri-City Mental Health and a developer are working to secure fuding to build 15 units of permananet supportive housing on the property Tri-City purchased in 2017.  In addition, Pilgrim Place is working to securing funding for 18 units of permanent supportive housing."
CLAREMONT,2019,Park Fees Reductions/Waivers,Continue to offer park fee reduction/waivers pursuant to City ordinance.,On-going,The City continued to offer park fee reduction/waivers to eligible development projects.
CLAREMONT,2019,Tenant/Landlord Handbook,"Provide information, as requested, to residents and landlords on their legally protected housing rights.",On-going,"The City continued to routinely refer tenants  and landlords to ""California Tenants"", the guide to residential tenants' and landlords' rights and responsibilities provided by the State Department of Consumer Affairs."
CLAREMONT,2019,Community-Based Organization Funding,Annually evaluate available funding and allocate resources based on priority of needs.,On-going,"The City continued to evaluate requests from community-based organizations to allocate funding based on how well such organizations meet the needs of the community.  For 2019-2020, the City funded 20 General  Services funding requests totaling $86,650."
CLAREMONT,2020,"Conservation of At-Risk
Housing","• Monitor the Section 8 contract status of Access Village and Claremont Village Apartments. Access Village is not eligible to convert to market-rate housing, but if Claremont Village Apartments files notice of intent to convert, City will contact nonprofit organizations, explore funding sources to preserve affordability of these units, contact residents to ensure they have been properly noticed and are informed of their rights and options, and assist tenants in obtaining Section 8 vouchers from County of L.A.
• Contact owners of Mountain Village Senior Apts. to discuss options for ensuring that future rental costs would continue to be affordable to moderate income households.",On-going,The City continued to monitor these apartment buildings during 2020
CLAREMONT,2020,"Transitional and Supportive
Housing",The City will continue its efforts to facilitate the production of transitional and supportive housing through partnerships with nonprofit developers and by working with organizations such as the Claremont Homeless Advocacy Program (CHAP) and Tri-City Mental Health.,On-going,"• The City continued to work with the Claremont Homeless Advocacy Program (CHAP) to identify a property for program graduates to move into transitional housing. In January of 2021, CHAP suspended operations, specifically their overnight accomodations. CHAP will reconvene to determine when they can resume operations."
CLAREMONT,2021,"Affordable Housing on Site
#9","• The City will facilitate the development of
affordable housing on all or a portion of 7.0 acres at 1550 N. Indian Hill Boulevard by processing the project as a permitted use, providing financial assistance, and the approval of one or more lot line adjustments.
• Work with potential developers of affordable housing to determine the size and configuration of parcels that would support the development of affordable housing.",On-going,"The Claremont Colleges, Inc. begun discussions in 2021 with Claremont Planning Division staff regarding the preparation of an RFP for Master Planning this parcel to likely include residential uses and affordable housing."
CLAREMONT,2021,"Community-Based
Organization Funding",Annually evaluate available funding and allocate resources based on priority of  needs.,On-going,"Due to the budget deficit facing the City, the CBO program was discontinued for fiscal year 2021-22."
CLAREMONT,2021,"Community-Based
Organization Homeless
Funding","Evaluate funds collected and allocate
resources to agencies and individuals that serve the homeless in the community.",On-going,"Due to the budget deficit facing the City, the CBO program was discontinued for fiscal year 2021-22."
CLAREMONT,2021,Tenant/Landlord Services,"• Continue to provide fair housing services through LACDC.
• Publicize program information on the City website, at City Hall, and at other public locations.",On-going,"• The City continued to work with Tri-City Mental Health to provide landlord and tenant training to make it easier for unsheltered residents to transition into housing.
• The City also continued to provide information regarding housing assistance, including contact information for LACDC on the City's website."
CLAREMONT,2021,"Maintain Residential
Capacity","• City to monitor available residential
capacity and evaluate development applications throughout the City.
• The City will identify and zone sufficient sites to accommodate the shortfall should an approval of development result in a reduction of capacity below that needed to accommodate lower-income housing needs.",On-going,"The City continued to monitor available residential capacity in 2021, and did not approveany development application resulting in a reduction of potential sites for lower-income housing."
CLAREMONT,2021,"Marketing of Affordable
Units to Local Workforce","As new developments with affordable
housing options become available, the City will send information on the affordable housing opportunities to major Claremont employers for distribution to their employees.",On-going,The City is working with two national homebuilders in advertising the required affordable housing units in their projects.
CLAREMONT,2018,Safe and Healthy Environments for Children,"• Meet regularly with agencies, residents and onwers of multi-family housing complexes to address social and criminal problems that impact residents of the complexes.                                                                                                                               • Develop strategies to address identified social and criminal problems.",On-going,"• The City continued conducting its ""Crime-Free Multi-Housing Program"" to help residents, property managers and owners to keep drugs and other illegal activity out of rental multi-family properties.  The Police Department conducts a yearly manager/property owner training consisting of two half-day sessions.                                                                                                                                                                                                                                                                                                  • The Police Department will continue to track crime statistics for use in allocating resources, and volunteers will continue to provide assistance in checking properties and alerting police officers of suspicious activities in neighborhoods."
CLAREMONT,2018,Park Fees Reductions/Waivers,Continue to offer park fee reduction/waivers pursuant to City ordinance.,On-going,The City continued to offer park fee reduction/waivers to eligible development projects.
CLAREMONT,2018,Conservation of At-Risk Housing,"• Monitor the Section 8 contract status of Access Village and Claremont Village Apartments. Access Village is not eligible to convert to market-rate housing, but if Claremont Village Apartments files notice of intent to convert, City will contact nonprofit organizations, explore funding sources to preserve affordability of these units, contact residents to ensure they have been properly noticed and are informed of their rights and options, and assist tenants in obtaining Section 8 vouchers from County of L.A.                                                                                                                                                                                                                                                                                                                                                                                                                                                                  • Contact owners of Mountain Village Senior Apts. to discuss options for ensuring that future rental costs would continue to be affordable to moderate income households.",On-going,"The City protected 148 units of at-risk housing at Claremont Village Apartments by assisting with a Tax Equity and Fiscal Responsibility Act of 1982 (TEFRA) hearing to authorize the issuance of a $55 Million dollar tax exempt loan for the renovation of the entire 150-unit apartment complex, including 16 very-low income units and 132 low-income units. The owner also extended the Section 8 Housing Assistance Payment (HAP) for an additional 20 years of project based assistance."
CLAREMONT,2018,Homebuyer Assistance,"• Publicize program information on City website, at City Hall, and at other public locations.                                                                                                                                                                                                                                                                                               •  Continue to assist in distributing homebuyer workshop information, held by local realtors or the Los Angeles County Development Commission, to potential homebuyers.",On-going,• The City continued to provide information regarding Affordable Home Ownership development projects and programs on the City's website.
CLAREMONT,2018,Rental Subsidy Program,Assist 24 very low income households.,On-going,The City continued to work collaboratively with Inland Valley Hope Partners  and other community non-profit organizations who provide rental subsidy programs for Claremont families.
CLAREMONT,2018,Marketing of Affordable Units to Local Workforce,"As new developments with affordable housing options become available, the City will send information on the affordable housing opportunities to major Claremont employers for distribution to their employees.",On-going,• The City will mail out information regarding the Gable Crossings 60-unit condominium project to major employers within the City in the 2nd Quarter of 2019.                                                                                                                                                   • The City is working with two national homebuilders in advertising the required affordable housing units in their projects.
CLAREMONT,2019,Permanent Supportive and Transitional Housing for Low Income and Homeless Individuals and Families.,"• Partner with a nonprofit affordable housing developer for the development of a transitional/supportive housing project.                                                                                                                                                                                                                                                                                      • Garner support for a transitional/supportive housing project from local, county, state and federal legislative offices.                                                                                                                                                                                                                                                        • Work with a nonprofit affordable housing developer in preparing a site plan to determine development potential.",On-going,"The City continues to work with a non-profit housing developer, with extensive staff and consultant involvement, to secure grant funds to develop an 18-unit transitional/supportive housing complex at the northeast corner of Harrison Avenue and Cambridge Avenue."
CLAREMONT,2019,Building Relationships Between City and Housing Managers,"• Implement requirements  of the City's Multi-Family Rental Housing Ordinance, which requires annual licensing of complexes with ten or more units.                                                                                                                                                                • Maintain on-going communications with managers of multi-family housing projects to address needed maintenance and rehabilitation.",On-going,• The City continued to enforce the Multi-Family Rental Housing Ordinance.                                                                                                                                                                                                                                                                                                                              • The City's Community Improvement Officer continued to conduct annual inspections of multi-family residential properties to address maintenance issues.
CLAREMONT,2019,Density Bonus,"• The City will encourage the use of the density bonus program by providing information and technical assistance to interested developers.                                                                                                                                                                                    • Whenever new legislation is adopted related to density bonuses, the City will revise its Density Bonus Ordinance as required by the new legislation.",On-going,The City continued to implement State requirements for density bonus and will continue to amend the Residential Density Bonus Ordinance as needed to comply with the latest State requirements. • The City provided technical assistance to the developer of the 12-unit condominium project at 365 West San Jose Avenue to incorporate density bonus and affordable units into the project.
CLAREMONT,2019,Affordable Housing on Site #9,"• The City will facilitate the development of affordable housing on all or a portion of 7.0 acres at 1550 N. Indian Hill Boulevard by processing the project as a permitted use, providing financial assistance, and the approval of one or more lot line adjustments.                                                                                                                                                                                                                                                                                                                                                                                                                             • Work with potential developers of affordable housing to determine the size and configuration of parcels that would support the development of affordable housing.",On-going,The City did not receive any requests or inquiries regarding development on Site #9.
CLAREMONT,2019,Section 8 Rental Subsidies,"• Continue to work with the County to make Section 8 rental assistance available to qualified renters.                                                                                                                                                                                                                                                                       • Provide referrals to the two complexes in Claremont that have project-based Section 8 rental assistance, totaling 171 units.                                                                                                                                                                                                                             • Publicize program information on City website, at City Hall, and at other public locations.",On-going,"The City continued to implement this program and provided information regarding affordable rental housing,  including Section 8, on the City's website."
CLAREMONT,2020,"Building Relationships
Between City and Housing
Managers","• Implement requirements of the City's
Multi-Family Rental Housing Ordinance, which requires annual licensing of complexes with ten or more units.
• Maintain on-going communications with managers of multi-family housing projects to address needed maintenance and rehabilitation.",On-going,"• The City continued to enforce the Multi-Family Rental Housing Ordinance.
• The City's Community Improvement Officer continued to conduct annual inspections of multi-family residential properties to address maintenance issues."
CLAREMONT,2020,"Support Services and
Resources to the Homeless","• Evaluate available funding and allocate resources based on priority of needs.
• Work collaboratively with the Claremont Police Department and local agencies on the Claremont Homeless Pilot Program.",On-going,"• The City approved and accepted an award of $50,000 from the San Gabriel Valley Council of Governments for the implementation of a shared housing pilot program. The program is under developlment and staff anticipates it will be up and running by Q2 of 2021.  
• The City continued to evaluate available funding and coordinate with Claremont Unified School District, and other agencies and organizations in allocating resources to provide services to homeless adults and families .                                                                                              • The City continues to use the Homeless Services Advocate paid for through a grant award of Measure H dollars from the County of Los Angeles, to provide services to people experiencing homelessness in the City of Claremont.                                                                                                                            • The City has used motel vouchers secured through Measure
H funding for families with wrap around services provided by Tr-City Mental Health.                                                                                                                                   • The City has secured two beds at the Hope for Home shelter for unsheltered adults with full wrap around services and has succesfully made placements for interim suportive housing.                                                                                                            • The City approved and accepted an award of $15,000 from the San Gabriel Valley Council of Governements to augment the City's Emergency Case fund to a not-to-exceed award amount of $1,000 per award (previously $250). The City assisted two individuals and one family by assisting with rent and utilities.                                                                                                                                            • The City continued to support an appointment-only shower program at St. Ambrose Church for unsheltered residents.                                                                                                          • The City approved and accepted an award of $150,000 from the San Gabriel Valley Council of Governments to secure family beds at the Our Family Shelter in Pomona through Inland Valley Hope Partners. Two placements have been made and those participants succesfully obtained housing after a 60 day stay at the shelter."
CLAREMONT,2020,"Maintain Residential
Capacity","• City to monitor available residential
capacity and evaluate development applications throughout the City.
• The City will identify and zone sufficient sites to accommodate the shortfall should an approval of development result in a reduction of capacity below that needed to accommodate lower-income housing needs.",On-going,"The City continued to monitor available residential capacity in 2020, and did not approveany development application resulting in a reduction of potential sites for lower-income housing."
CLAREMONT,2021,"Owner-Occupied
Rehabilitation","• Provide rehabilitation assistance to four households annually for a total of 24 households over 6 years.
• Publicize program information on City website, at City Hall, and at other public locations.
• Increase outreach by providing
information of program to owners of homes identified through code enforcement activities as requiring maintenance or other actions to correct code violations.",On-going,• The City continued providing information regarding Housing Rehabilitation Loan Program and Energy Efficient Improvement Grants on the City's website and as part of the code enforcement process.
CLAREMONT,2021,"Affordable Housing on Small
Lots",Offer incentives to encourage development of affordable housing on small lots.,On-going,•  The City committed $1.5 million of housing funds for a 33-unit supportive housing development for Extremely Low Income individuals being developed by Jamboree Housing  and offered technical assistance  to incorporate density bonus and achieve a higher unit yield for the property at 731 Harrison Ave
CLAREMONT,2021,Rental Subsidy Program,Assist 24 very low income households.,On-going,"• In response to the COVID-19 health crisis, the County of Los Angeles enacted a temporary moratorium to protect residential and commercial tenants throughout LA County, including Claremont. This moratorium aims to protect those who are suddently unable to make rent due to COVID-19, and offers protection from eviction from March 4, 2020 through February 28, 2021."
CLAREMONT,2018,Building Relationships Between City and Housing Managers,"• Implement requirements  of the City's Multi-Family Rental Housing Ordinance, which requires annual licensing of complexes with ten or more units.                                                                                                                                                                • Maintain on-going communications with managers of multi-family housing projects to address needed maintenance and rehabilitation.",On-going,• The City continued to enforce the Multi-Family Rental Housing Ordinance.                                                                                                                                                                                                                                                                                                                              • The City's Community Improvement Officer continued to conduct annual inspections of multi-family residential properties to address maintenance issues.
CLAREMONT,2018,Affordable Housing on Small Lots,Offer incentives to encourage development of affordable housing on small lots.,On-going,"The City is currently working with the owner of the 365 West San Jose Avenue site on the development of a condominium project, and with the owner and developer of the Harrison Avenue/Cambridge Avenue project, both including density bonus and other zoning incentives; the City is also working with developers on a continuous basis on various lots throughout Claremont."
CLAREMONT,2018,Section 8 Rental Subsidies,"• Continue to work with the County to make Section 8 rental assistance available to qualified renters.                                                                                                                                                                                                                                                                       • Provide referrals to the two complexes in Claremont that have project-based Section 8 rental assistance, totaling 171 units.                                                                                                                                                                                                                             • Publicize program information on City website, at City Hall, and at other public locations.",On-going,"• The City continued to implement this program and provided information regarding affordable rental housing including Section 8, on the City's website.                                                                                                                                                      •  The Section 8 Housing Assistance Payment (HAP) for Claremont Village Apartments, a 150-unit complex with 16 very-low income and 132 low-income units,  was extended for an additional 20 years of project based assistance."
CLAREMONT,2018,Homeless Assistance Program,"• Provide referrals to nonprofit organizations.                                                                                                                                                                                                                                                                                                                                                                       • Publicize information on City website, at City Hall, and at other public locations.                                                                                                                                                                                                                                                                                        • Work collaboratively with the Claremont Police Department and local agencies on the Claremont Homeless Pilot Program.",On-going,"• The Collaborative Community Response to Claremont Homelessness (CCRCH) referred 32 individuals in 2018 to homeless services, including Volunteers of America (VOA), Tri-City Mental Health Services, Inland Valley Hope Partners, and Foothill Family Shelter.                                                                                                                                                                                                                                                                                                                                                                                                  • The City continued to provide information about the program on the City website, in the City newsletter, and at public facilities.                                                                                                                                                                                                     • The City worked with VOA to get unsheltered residents into the LA County Coordinated Entry System."
CLAREMONT,2018,Tenant/Landlord Services,"• Continue to provide fair housing services through LACDC.                                                                                                                                                                                                                                                                                                                                                               • Publicize program information on the City website, at City Hall, and at other public locations.",On-going,"• The City continued to work with Tri-City Mental Health to provide landlord and tenant training to make it easier for unsheltered residents to transition into housing.                                                                                                                              • The City also continued to provide information regarding housing assistance, including contact information for LACDC on the City's website."
CLAREMONT,2019,Maintain Residential Capacity,• City to monitor available residential capacity and evaluate development applications throughout the City.                                                                                                                                                                                                                                                             • The City will identify and zone sufficient sites to accommodate the shortfall should an approval of development result in a reduction of capacity below that needed to accommodate lower-income housing needs.,On-going,"The City continued to monitor available residential capacity in 2019, and did not approve any development application resulting in a reduction of potential sites for lower-income housing."
CLAREMONT,2019,Conservation of At-Risk Housing,"• Monitor the Section 8 contract status of Access Village and Claremont Village Apartments. Access Village is not eligible to convert to market-rate housing, but if Claremont Village Apartments files notice of intent to convert, City will contact nonprofit organizations, explore funding sources to preserve affordability of these units, contact residents to ensure they have been properly noticed and are informed of their rights and options, and assist tenants in obtaining Section 8 vouchers from County of L.A.                                                                                                                                                                                                                                                                                                                                                                                                                                                                  • Contact owners of Mountain Village Senior Apts. to discuss options for ensuring that future rental costs would continue to be affordable to moderate income households.",On-going,The City continued to monitor these apartment buildings during 2019
