JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
ARTESIA,LOS ANGELES,2019,7035-019-026,11710 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.12,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-027,11706 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.12,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-028,11702 176TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.13,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-029,17700 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-030,17704 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-031,17708 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-032,17712 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-033,17716 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7035-019-034,17722 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-019-035,17730 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.37,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Single Family Attached Other
ARTESIA,LOS ANGELES,2019,7035-019-036,17730 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group A,6/10/2019,,20,,,Unaccommodated Need,0.67,City Center Mixed Use,Housing Opportunity Overlay,16,25,20,Non-Vacant,Multi-Family Residential
ARTESIA,LOS ANGELES,2019,12/27/35,18000 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group B,6/10/2019,,23,,,Unaccommodated Need,0.16,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,12/28/35,18002 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group B,6/10/2019,,23,,,Unaccommodated Need,0.33,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,12/31/35,18008 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group B,6/10/2019,,23,,,Unaccommodated Need,0.3,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7035-012-032,18012 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group B,6/10/2019,,23,,,Unaccommodated Need,0.14,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7035-012-044,18014 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group B,6/10/2019,,23,,,Unaccommodated Need,0.63,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 9+ Units
ARTESIA,LOS ANGELES,2019,7035-014-032,17922 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group B,6/10/2019,,23,,,Unaccommodated Need,0.45,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7035-014-033,17930 ALBURTIS AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group B,6/10/2019,,23,,,Unaccommodated Need,0.44,City Center Mixed Use,Housing Opportunity Overlay,16,25,23,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,2/14/39,18422 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group C,6/10/2019,,14,,,Unaccommodated Need,0.37,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,2/18/39,18426 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group C,6/10/2019,,14,,,Unaccommodated Need,0.36,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,2/20/39,18410 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group C,6/10/2019,,14,,,Unaccommodated Need,0.52,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7039-002-900,18530 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group C,6/10/2019,,14,,,Unaccommodated Need,0.24,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7039-002-901,18510 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group C,6/10/2019,,14,,,Unaccommodated Need,0.56,City Center Mixed Use,Housing Opportunity Overlay,16,25,14,Non-Vacant,Parking lot
ARTESIA,LOS ANGELES,2019,11/16/39,11741 187TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group D,6/10/2019,,16,,,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached Other
ARTESIA,LOS ANGELES,2019,11/17/39,18634 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group D,6/10/2019,,16,,,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached Other
ARTESIA,LOS ANGELES,2019,11/20/39,18618 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group D,6/10/2019,,16,,,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,11/21/39,18614 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group D,6/10/2019,,16,,,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,11/24/39,11740 186TH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group D,6/10/2019,,16,,,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,11/25/39,18626 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group D,6/10/2019,,16,,,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,11/26/39,18608 CORBY AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group D,6/10/2019,,16,,,Unaccommodated Need,0.26,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-017-005,11827 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group E,6/10/2019,,6,,,Unaccommodated Need,0.29,City Center Mixed Use,Housing Opportunity Overlay,16,25,6,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-017-006,11819 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group E,6/10/2019,,6,,,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,6,Non-Vacant,Parking lot
ARTESIA,LOS ANGELES,2019,7033-018-008,11818 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.1,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-009,11820 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.09,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-010,11824 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.09,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-011,11828 ASHWORTH ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.08,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-012,17913 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.27,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-018-013,17921 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.28,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-018-014,17927 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-010,18001 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-011,18007 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Vacant,Vacant
ARTESIA,LOS ANGELES,2019,7033-019-012,18011 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Vacant,Vacant
ARTESIA,LOS ANGELES,2019,7033-019-013,18017 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Vacant,Vacant
ARTESIA,LOS ANGELES,2019,7033-019-014,18021 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-015,18027 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7033-019-016,18031 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7033-019-017,18103 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group F,6/10/2019,,16,,,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,16,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-017-001,18327 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.15,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Detached
ARTESIA,LOS ANGELES,2019,7040-017-002,18319 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.22,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-017-008,11818 183RD ST,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.55,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 9+ Units
ARTESIA,LOS ANGELES,2019,7040-018-001,18401 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.35,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-018-002,18411 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Triplex
ARTESIA,LOS ANGELES,2019,7040-018-004,18415 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,7040-018-005,18421 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,7040-018-006,18427 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.17,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Single Family Attached Duplex
ARTESIA,LOS ANGELES,2019,7040-018-015,18431 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.19,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Multi-Family Apt 2-8 Units
ARTESIA,LOS ANGELES,2019,7040-019-003,18513 ARLINE AVE,Shortfall and Realistic Capacity Apply to the group letter cumulatively,Group G,6/10/2019,,25,,,Unaccommodated Need,0.18,City Center Mixed Use,Housing Opportunity Overlay,16,25,25,Non-Vacant,Parking lot
TRUCKEE,NEVADA,2018,019-460-042-000,10161 Levon Avenue,Upper McIver Dairy,2014-2019 Housing Element Implementation,11/13/2018,,88,,,Unaccommodated Need,5.52,High Density Residential 16-18 du/acre,Multi-Family Residential 18 dwelling units per acre,16 dwelling units per acre,18 dwelling units per acre,88,Vacant,N/A
UNION CITY,ALAMEDA,2018,475-151-2,33601 Alvarado-Niles Rd,PR-3,"AG-15-001, A-15-001",1/26/2016,,5,,,Unaccommodated Need,0.18,R17-30,RM1500-HE,20 du/ac,30du/ac,5,Non-Vacant,SFR
UNION CITY,ALAMEDA,2018,475-151-3,33615 Alvarado-Niles Rd,PR-3,"AG-15-001, A-15-001",1/26/2016,,4,,,Unaccommodated Need,0.14,R17-30,RM1500-HE,20 du/ac,30du/ac,4,Non-Vacant,SFR
UNION CITY,ALAMEDA,2018,475-151-4,33627 Alvarado-Niles Rd,PR-3,"AG-15-001, A-15-001",1/26/2016,,6,,,Shortfall of Sites,0.23,R17-30,RM1500-HE,20 du/ac,30du/ac,6,Non-Vacant,SFR
UNION CITY,ALAMEDA,2018,475-151-6,33491 Alvarado-Niles Rd,PR-3,"AG-15-001, A-15-001",1/26/2016,,77,,,Unaccommodated Need,3.02,R17-30,RM1500-HE,20 du/ac,30du/ac,77,Non-Vacant,SFR
UNION CITY,ALAMEDA,2018,87-11-17-6,Alvarado-Niles Rd,PR-4,"AG-15-001, A-15-001",1/26/2016,,44,,,No Net Loss,1.73,R17-30,RM1500-HE,20 du/ac,30du/ac,44,Vacant,
UNION CITY,ALAMEDA,2018,483-10-21-1,3969 Smith Street,Smith St/UCB,A-18-001,4/28/2018,,3,,,Shortfall of Sites,0.13,R17-30,RM1500-HE,20 du/ac,30du/ac,3,Vacant,
UNION CITY,ALAMEDA,2018,483-10-20,3955 Smith Street,Smith St/UCB,A-18-001,4/28/2018,,3,,,Shortfall of Sites,0.12,R17-30,RM1500-HE,20 du/ac,30du/ac,3,Vacant,
UNION CITY,ALAMEDA,2018,483-10-19-1,30971 Vallejo Street,Smith St/UCB,A-18-001,4/28/2018,,3,,,Shortfall of Sites,0.13,R17-30,RM1500-HE,20 du/ac,30du/ac,3,Vacant,
UNION CITY,ALAMEDA,2018,483-10-25,30968 Union City Boulevard,Smith St/UCB,A-18-001,4/28/2018,,1,,,Shortfall of Sites,0.02,R17-30,RM1500-HE,20 du/ac,30du/ac,1,Vacant,
CATHEDRAL,RIVERSIDE,2018,"678-060-001 to -005, -049 to -053",30600 LANDAU BLVD,VETERANS VILLAGE,"DR 18-002, GPA 16-006, CZ 16-005",12/12/2018,,60,,,No Net Loss,8.9,RM,R2,4.5,10,60,Vacant,Vacant Land
KERMAN,FRESNO,2018,"023-130-32,33,34",14612/14542/14510 W. Kearney,ZCA RR to MF-6ac Kearney & Vineland,Ord 19-03,2/6/2019,,120,,,Unaccommodated Need,6,High Density,Multi-Family,1/1500sf,20 units per ac,120,Vacant,front-house/rear vac
FILLMORE,VENTURA,2018,053-0-111-040  053-0-111-080,210-220 Santa Clara Avenue,Mountain View Apartments,"DP 18-03, GPA 18-01,
ZC 18-01, TPM 18-03
Density Bonus",5/31/2019,,77,,,Shortfall of Sites,3.01,Commercial Highway to Residential High Density,Commercial Highway (CH) to Residential Planned Development - H (RPD-H),N/A,35,77,Non-Vacant,The project site is partially developed with an existing single-family residence and commercial boat storage yard.  Existing undeveloped area is 2.38 acres.
KERN COUNTY,KERN,2018,473-022-23,"1701 20th Street, Rosamond, CA",Patrick Kealy by Rusian Safin,"SPA #5, Map 203
ZCC  #20, Map 203",2/6/2018,,80,,,Shortfall of Sites,16.39,5.2 Residential - Max 16 Units,R-2 Medium Density Residential,16 Units Per Acre,16 Units Per Acre,80,Vacant,Site was an old mobilhome park with 6 dwellings
SOUTH EL MONTE,LOS ANGELES,2018,8118-019-035,1144-1204 Santa Anita Ave,Santa Anita Avenue,Horizons-Mayans,12/27/2017,,,,,Shortfall of Sites,3.85,Mixed-use,C-R,16,20,16,Vacant,
SOUTH EL MONTE,LOS ANGELES,2018,8116-006-020,1127 Santa Anita Ave,Old Bank  Property,Old  Bank Property,2/25/2018,,,,,Shortfall of Sites,0.82,Mixed-use,C-R,16,20,16,Vacant,
SOUTH EL MONTE,LOS ANGELES,2018,8118-019-008,1124  Santa Anita Ave,Old Rack & Shelving,Old Rack & Shelving,1/26/2017,,,,,Shortfall of Sites,2.4,Mixed-use,C-R,16,20,16,Vacant,
SOUTH EL MONTE,LOS ANGELES,2018,8116-027-047,No legal address,Santa Anita Center,"Santa Anita Group,LLC- Vacant Lot",11/18/2002,,,,,Shortfall of Sites,2.43,Mixed-use,C-R,16,20,16,Vacant,
EXETER,TULARE,2020,135-161-008,"South F Street, Exeter, Ca.",Morgan,GPA/ZA 2020-01,9/17/2020,,22,,,No Net Loss,1.5,High Density Residential,RM-1.5,10,29,29,Vacant,vacant site
SUISUN CITY,SOLANO,2021,"0032-411-070, 080, 090, 100,  and 110",Not addressed,Marina Village Apts.,SPA 20-1-002,3/1/2017,,64,,,Unaccommodated Need,3.22,Mixed Use,High-Density Residential 2,20,45,64,Vacant,These sites are being combined with adjacent parcels forming a 160-unit project which has been approved.
ROCKLIN,PLACER,2021,017-280-014-000,BETWEEN WEST OAKS BLVD AND ATHERTON ROAD,ROCKLIN CORP CENTER GPA & REZONE (WEST SITE),GPA2020-0003; PDG2020-0001; Z2020-0001,1/26/2021,,96,,,Unaccommodated Need,4,High Density Residential,"Planned Development Residential , 24+ units per acre", 24 units per acre,N/A,120,Vacant,N/A
ROCKLIN,PLACER,2021,017-281-015-000,BETWEEN WEST OAKS BLVD AND ATHERTON ROAD,ROCKLIN CORP CENTER GPA & REZONE (EAST SITE),GPA2020-0003; PDG2020-0001; Z2020-0001,1/26/2021,,122,,,Unaccommodated Need,5.1,High Density Residential,"Planned Development Residential , 24+ units per acre",24  units per acre,N/A,153,Vacant,N/A
ROCKLIN,PLACER,2021,017-280-014-000,BETWEEN WEST OAKS BLVD AND ATHERTON ROAD,ROCKLIN CORP CENTER GPA & REZONE (WEST SITE),GPA2020-0003; PDG2020-0001; Z2020-0001,1/26/2021,,96,,,Unaccommodated Need,4,High Density Residential,"Planned Development Residential , 24+ units per acre", 24 units per acre,N/A,120,Vacant,N/A
ROCKLIN,PLACER,2021,017-281-015-000,BETWEEN WEST OAKS BLVD AND ATHERTON ROAD,ROCKLIN CORP CENTER GPA & REZONE (EAST SITE),GPA2020-0003; PDG2020-0001; Z2020-0001,1/26/2021,,122,,,Unaccommodated Need,5.1,High Density Residential,"Planned Development Residential , 24+ units per acre",24  units per acre,N/A,153,Vacant,N/A
LOS BANOS,MERCED,2018,082-030-051,N. Mercey Springs Road,Mercey Springs Apartments,GPA #2018-03 & ZC #2018-03,3/20/2019,,20,80,,Unaccommodated Need,5,High Density Residential,R-3,18,30,100,Vacant,Vacant Land
TEMECULA,RIVERSIDE,2018,920110004,Vacant,Affordable Housing Overlay (AHO) Zone,,9/25/2018,,,25,,Unaccommodated Need,1.21,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,17,Vacant,
TEMECULA,RIVERSIDE,2018,909370050,Vacant,,,9/25/2018,,,230,,Unaccommodated Need,10.95,Public Institutional Facilities,PLANNED DEV OVERLAY (PDO-10),20,30,153,Vacant,
TEMECULA,RIVERSIDE,2018,909370049,Vacant,,,9/25/2018,,,216,,Unaccommodated Need,10.27,Public Institutional Facilities,PLANNED DEV OVERLAY (PDO-10),20,30,144,Vacant,
TEMECULA,RIVERSIDE,2018,921330052,Vacant,,,9/25/2018,,,22,,Unaccommodated Need,1.07,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,15,Vacant,
TEMECULA,RIVERSIDE,2018,921330053,Vacant,,,9/25/2018,,,24,,Unaccommodated Need,1.15,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,16,Vacant,
TEMECULA,RIVERSIDE,2018,921330025,Vacant,,,9/25/2018,,,21,,Unaccommodated Need,0.98,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,14,Vacant,
TEMECULA,RIVERSIDE,2018,921330005,Vacant,,,9/25/2018,,,101,,Unaccommodated Need,4.81,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,67,Vacant,
TEMECULA,RIVERSIDE,2018,921280002,Vacant,,,9/25/2018,,,26,,Unaccommodated Need,1.22,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,17,Vacant,
TEMECULA,RIVERSIDE,2018,944330008,Vacant,,,9/25/2018,,,37,,Unaccommodated Need,1.74,"High Residential (13-20 Du/Ac Max)3,4",SPECIFIC PLAN (SP-2) - Rancho Highlands,20,30,24,Vacant,
TEMECULA,RIVERSIDE,2018,944290016,Vacant,,,9/25/2018,,,184,,Unaccommodated Need,8.77,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,123,Vacant,
TEMECULA,RIVERSIDE,2018,944330007,Vacant,,,9/25/2018,,,67,,Unaccommodated Need,3.17,"Professional Office3,4",PROFESSIONAL OFFICE (PO),20,30,44,Vacant,
TEMECULA,RIVERSIDE,2018,944330005,Vacant,,,9/25/2018,,,96,,Unaccommodated Need,4.56,High Residential  (14.9 du/ac),PROFESSIONAL OFFICE (PO),15,30,48,Vacant,
TEMECULA,RIVERSIDE,2018,944330004,Vacant,,,9/25/2018,,,98,,Unaccommodated Need,4.69,High Residential (14.9 du/ac),PROFESSIONAL OFFICE (PO),15,30,49,Vacant,
TEMECULA,RIVERSIDE,2018,944060009,Vacant,,,9/25/2018,,,38,,Unaccommodated Need,1.81,High Residential,HIGH DENSITY RES (H),20,30,25,Vacant,
TEMECULA,RIVERSIDE,2018,944370006,Vacant,,,9/25/2018,,,18,,Unaccommodated Need,0.84,"Professional Office3,4",PLANNED DEV OVERLAY (PDO-5),20,30,12,Vacant,
TEMECULA,RIVERSIDE,2018,944370007,Vacant,,,9/25/2018,,,21,,Unaccommodated Need,0.99,"Professional Office3,4",PLANNED DEV OVERLAY (PDO-5),20,30,14,Vacant,
TEMECULA,RIVERSIDE,2018,944370005,Vacant,,,9/25/2018,,,16,,Unaccommodated Need,0.75,"Professional Office3,4",PLANNED DEV OVERLAY (PDO-5),20,30,11,Vacant,
TEMECULA,RIVERSIDE,2018,944370013,Vacant,,,9/25/2018,,,37,,Unaccommodated Need,1.75,"Professional Office3,4",PLANNED DEV OVERLAY (PDO-5),20,30,25,Vacant,
TEMECULA,RIVERSIDE,2018,944370010,Vacant,,,9/25/2018,,,37,,Unaccommodated Need,1.74,"Professional Office3,4",PLANNED DEV OVERLAY (PDO-5),20,30,24,Vacant,
TEMECULA,RIVERSIDE,2018,944370001,Vacant,,,9/25/2018,,,20,,Unaccommodated Need,0.93,"Professional Office3,4",PLANNED DEV OVERLAY (PDO-5),20,30,13,Vacant,
